ANZSCO_Code,ANZSCO_Title,Core_Competencies,Score,Proficiency_level,Anchor_value
1111,Chief Executives and Managing Directors,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
1111,Chief Executives and Managing Directors,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1111,Chief Executives and Managing Directors,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
1111,Chief Executives and Managing Directors,Writing,7,Intermediate,Write a detailed literature review
1111,Chief Executives and Managing Directors,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
1111,Chief Executives and Managing Directors,Learning,8,High,Develop and implement a new business strategy based on changing market conditions
1111,Chief Executives and Managing Directors,Problem solving,8,High,Examine records and data to investigate and prosecute corporate criminals
1111,Chief Executives and Managing Directors,Oral communication,8,High,Explain foot care procedures to a diabetic patient
1111,Chief Executives and Managing Directors,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
1111,Chief Executives and Managing Directors,Initiative and innovation,9,High,Collaborate with others to prepare and perform artistic productions
1112,General Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
1112,General Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
1112,General Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
1112,General Managers,Writing,7,Intermediate,Write a detailed literature review
1112,General Managers,Reading,7,Intermediate,Read a book on leading and managing change in the workplace
1112,General Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
1112,General Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
1112,General Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions 
1112,General Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
1112,General Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
