umap_x,umap_y,job_title,job_description,source
4.5712323,6.6894035,Chief Executives and Managing Directors,"Chief Executives and Managing Directors determine, formulate and review the general policy programs and the overall direction of organisations within the framework established by boards of directors and similar governing bodies.",government
4.3551135,6.6217055,General Managers,"General Managers plan, organise, direct, control and review the day-to-day operations and major functions of commercial, industrial, government and defence organisations through departmental managers and subordinate executives.",government
2.8125346,9.905703,Livestock Farmers,"Livestock Farmers plan, organise, control, coordinate and perform farming operations to breed and raise livestock.",government
2.8116753,9.933835,Mixed Crop and Livestock Farmers,"Mixed Crop and Livestock Farmers plan, organise, control, coordinate and perform farming operations to both grow crops and to breed and raise livestock.",government
4.245372,6.3050504,Corporate Services Managers,Corporate Services Managers organise and direct the overall administration of organisations.,government
4.491497,6.3620963,Finance Managers,Finance Managers organise and direct the financial and accounting activities within organisations.,government
4.9396625,6.8328247,Human Resource Managers,Human Resource Managers organise and direct the human resource and workplace relations activities within organisations.,government
4.556167,6.682849,Policy and Planning Managers,Policy and Planning Managers organise and direct policy advice and strategic planning within organisations.,government
4.7850904,6.5718884,Research and Development Managers,Research and Development Managers organise and direct research and development activities within organisations.,government
1.6748563,8.860685,Construction Managers,"Construction Managers organise and direct the construction of civil engineering projects, buildings and dwellings, and the physical and human resources involved in building and construction.",government
2.712208,7.9606824,Engineering Managers,Engineering Managers organise and direct the engineering and technical operations of organisations.,government
4.267594,5.1436787,"Importers, Exporters and Wholesalers","Importers, Exporters and Wholesalers organise and direct the operations of importing, exporting and wholesaling establishments.",government
3.8081741,6.974001,"Supply, Distribution and Procurement Managers","Supply and Distribution Managers organise and direct the supply, storage and distribution of goods produced by organisations.",government
5.62483,6.584439,Child Care Centre Managers,Child Care Centre Managers organise and direct the activities of childcare centres and services including physical and human resources.,government
5.864558,7.8974357,Health and Welfare Services Managers,Health and Welfare Services Managers organise and direct the professional and administrative aspects of health and welfare programs and services.,government
6.88138,6.6152954,School Principals,"School Principals organise and direct the educational and administrative aspects of primary, middle or intermediate, and secondary schools including physical and human resources.",government
6.451245,6.7294946,Education Managers,"Education Managers organise and direct educational policy, and provide advice and educational and administrative support to staff and students in educational institutions.",government
4.3671675,6.21452,ICT Managers,"ICT Managers organise and direct the acquisition, development, maintenance and use of computer and telecommunication systems within organisations.",government
